index,step_estimated,layer_estimated,alpha_s,alpha_f
451,7,3,0.86673495,1.53002841
452,7,4,0.65568544,1.61900628
453,7,5,0.58509513,1.54213617
454,7,6,0.79769126,1.45004455
455,7,7,0.79194195,1.82745855
456,7,8,0.72316365,1.47090055
457,7,9,0.82654907,1.74460107
458,7,10,0.57554776,1.19071623
459,7,11,0.64119696,1.5101592
460,7,12,0.81328816,1.63644957
461,7,13,0.32183354,1.49979838
462,7,14,0.43965533,1.54760321
463,7,15,0.53050305,1.16111999
464,7,16,0.5049016,1.57385274
465,7,17,0.74949571,1.53690294
466,7,18,0.58440288,1.50678589
467,7,19,0.5389263,1.29606756
468,7,20,0.84972263,1.30213757
469,7,21,0.52142963,1.53058778
470,7,22,0.63158373,1.67801583
471,7,23,0.44140472,1.60046113
472,7,24,0.58335894,1.33088179
473,7,25,0.75521033,1.55047479
474,7,26,0.36169501,1.49329762
475,7,27,0.83528608,1.72629968
476,7,28,0.54088262,1.37973662
477,7,29,0.58938573,1.62997571
478,7,30,0.59916944,1.48857231
479,7,31,1.019135,1.31256109
480,7,32,0.63612264,1.54169525
481,7,33,0.49448585,1.54916571
482,7,34,0.8404627,1.51790789
483,7,35,0.53435525,1.4713398
484,7,36,0.69649095,1.14082353
485,7,37,0.43822629,1.47760748
486,7,38,0.5394835,1.22987759
487,7,39,0.85546976,1.38147644
488,7,40,0.85829521,1.40559987
489,7,41,0.73359775,1.48931958
490,7,42,0.59162184,1.94903559
491,7,43,0.59845045,1.5565665
492,7,44,0.50669771,1.59127231
493,7,45,0.56292748,1.53101519
494,7,46,0.78204803,1.22056001
495,7,47,0.83352685,1.59306047
496,7,48,0.79885541,1.61698215
497,7,49,0.44551299,1.79103112
498,7,50,0.83815771,1.39242342
499,7,51,0.62531909,1.49787523
500,7,52,0.55220123,1.53407942
501,7,53,0.77633062,1.37143715
502,7,54,0.94261742,1.72069136
503,7,55,0.77903008,1.70290213
504,7,56,0.62814561,1.53343136
505,7,57,0.66028074,1.4326709
506,7,58,0.68475503,1.83346089
507,7,59,0.79319792,1.31275365
508,7,60,0.57314871,1.60226008
509,7,61,0.54331974,1.72634947
510,7,62,0.62048075,1.29664784
511,7,63,0.40012821,1.25576933
512,8,0,0.68577623,1.51635824
513,8,1,0.77300761,1.78454792
514,8,2,0.7044873,1.6697199
515,8,3,0.96938176,1.62486997
516,8,4,0.42731058,1.73784736
517,8,5,0.5160997,1.27192669
518,8,6,0.9810736,1.74971608
519,8,7,0.88824308,1.77614476
520,8,8,0.63954523,1.56322589
521,8,9,0.80448434,1.75751841
522,8,10,0.60120948,1.10235733
523,8,11,0.53220941,1.60115792
524,8,12,0.56324384,1.50551644
525,8,13,0.29630672,1.3671883
526,8,14,0.4180399,1.62545085
527,8,15,0.65150824,1.07655116
528,8,16,0.43129112,1.54263746
529,8,17,0.63092415,1.53592278
530,8,18,0.5701866,1.6445431
531,8,19,0.45897053,1.31586398
532,8,20,0.83412395,1.40463506
533,8,21,0.5010801,1.46030097
534,8,22,0.67094425,1.68183606
535,8,23,0.46658695,1.65877045
536,8,24,0.5907466,1.38651008
537,8,25,0.68880823,1.62078051
538,8,26,0.49364581,1.51813552
539,8,27,0.66258141,1.59259123
540,8,28,0.46008182,1.53498473
541,8,29,0.51912292,1.39574481
542,8,30,0.51465747,1.51310428
543,8,31,0.9166318,1.38061867
544,8,32,0.60648221,1.56706412
545,8,33,0.43690164,1.71109677
546,8,34,0.69075991,1.52587923
547,8,35,0.52996165,1.49824241
548,8,36,0.67889257,1.27763528
549,8,37,0.37194044,1.42546959
550,8,38,0.54026847,1.62576121
551,8,39,0.64731589,1.27040072
552,8,40,0.76609347,1.68251044
553,8,41,0.62379732,1.69206352
554,8,42,0.77925487,1.73896738
555,8,43,0.66273914,1.65678495
556,8,44,0.41027753,1.52267268
557,8,45,0.50787494,1.40797912
558,8,46,0.54134802,1.11459565
559,8,47,0.82368106,1.43475161
560,8,48,0.73263166,1.38488943
561,8,49,0.42440044,1.93649518
562,8,50,0.55149979,1.50139693
563,8,51,0.70283722,1.44878737
564,8,52,0.69465353,1.52864131
565,8,53,0.69773654,1.32056332
566,8,54,0.86170213,1.6778304
567,8,55,0.84517854,1.53946262
568,8,56,0.55005228,1.50588418
569,8,57,0.6071061,1.29160582
570,8,58,0.65323316,1.80963315
571,8,59,0.89602262,1.33877994
572,8,60,0.50312489,1.56304244
573,8,61,0.73158501,1.84023225
574,8,62,0.68198216,1.38321153
575,8,63,0.49831898,1.39065257
576,9,0,0.7518174,1.59728728
577,9,1,0.70253605,1.76757819
578,9,2,0.70090112,1.37030584
579,9,3,0.74818505,1.67877524
580,9,4,0.54323467,1.36962015
581,9,5,0.66259275,1.59027799
582,9,6,0.90302325,1.6088946
583,9,7,0.78828856,1.71040031
584,9,8,0.66973196,1.45901013
585,9,9,0.76940239,1.74803837
586,9,10,0.54366711,1.17400762
587,9,11,0.58277076,1.55043176
588,9,12,0.74584213,1.42878562
589,9,13,0.38188946,1.44202537
590,9,14,0.49476097,1.53934597
591,9,15,0.58028171,1.25489196
592,9,16,0.62591894,1.49928004
593,9,17,0.71459231,1.43622598
594,9,18,0.4452143,1.68487213
595,9,19,0.40602047,1.39490776
596,9,20,0.89100631,1.40870738
597,9,21,0.62712065,1.45126257
598,9,22,0.68191418,1.46687899
599,9,23,0.37776794,1.52539166
600,9,24,0.48819401,1.45613626
601,9,25,0.80572546,1.66209706
602,9,26,0.47690253,1.62142572
603,9,27,0.7348751,1.60593587
604,9,28,0.52745898,1.35810046
605,9,29,0.59181879,1.45208997
606,9,30,0.58921693,1.42903345
607,9,31,0.97942378,1.36333046
608,9,32,0.74056675,1.4132322
609,9,33,0.30365667,1.60150988
