index,step_estimated,layer_estimated,alpha_s,alpha_f
183,2,55,1.9480465650558472,1.7948013544082642
184,2,56,1.928562879562378,1.9727146625518799
185,2,57,1.6231809854507446,1.7991063594818115
186,2,58,1.9002653360366821,1.9283161163330078
187,2,59,1.6651495695114136,1.9775516986846924
188,2,60,1.5556780099868774,1.8429546356201172
189,2,61,1.8124504089355469,0.6789039373397827
190,2,62,1.748348593711853,1.626325011253357
191,2,63,1.7574379444122314,1.9058469533920288
192,3,0,1.583411455154419,1.0177098512649536
193,3,1,1.4040695428848267,0.47778403759002686
194,3,2,1.750787615776062,1.9234071969985962
195,3,3,1.6832438707351685,1.8284610509872437
196,3,4,1.5869081020355225,1.7114697694778442
197,3,5,1.355930209159851,1.673789143562317
198,3,6,1.4284820556640625,1.4249621629714966
199,3,7,1.518541932106018,1.579567551612854
200,3,8,1.2831108570098877,1.5642344951629639
201,3,9,1.1377089023590088,1.1548426151275635
202,3,10,1.1467686891555786,1.2731276750564575
203,3,11,1.1939316987991333,1.7925256490707397
204,3,12,0.9925739765167236,1.8629329204559326
205,3,13,1.3558062314987183,1.513476014137268
206,3,14,1.2433780431747437,1.754562258720398
207,3,15,1.1054545640945435,1.7991857528686523
208,3,16,1.2362034320831299,1.6954807043075562
209,3,17,1.1392898559570312,1.6098958253860474
210,3,18,1.3616907596588135,1.5097479820251465
211,3,19,1.2731212377548218,1.6343053579330444
212,3,20,1.12288498878479,1.3356705904006958
213,3,21,1.1975644826889038,1.551246166229248
214,3,22,1.1475728750228882,1.3867809772491455
215,3,23,1.0241663455963135,1.2979224920272827
216,3,24,1.0384267568588257,1.1832994222640991
217,3,25,1.140184760093689,1.3123984336853027
218,3,26,0.9059680104255676,1.0248745679855347
219,3,27,1.3174647092819214,1.6023108959197998
220,3,28,1.1149463653564453,1.1903693675994873
221,3,29,1.1829317808151245,1.4634310007095337
222,3,30,1.1486543416976929,1.6627365350723267
223,3,31,1.1393107175827026,1.2472901344299316
224,3,32,1.068496823310852,1.4082653522491455
225,3,33,1.1358085870742798,1.5457520484924316
226,3,34,0.9447294473648071,1.246881365776062
227,3,35,1.2599248886108398,1.312739610671997
228,3,36,1.2872551679611206,1.8486968278884888
229,3,37,1.530552625656128,1.6172102689743042
230,3,38,1.3226171731948853,1.8222851753234863
231,3,39,1.3779832124710083,1.8379952907562256
232,3,40,1.3522635698318481,1.2366725206375122
233,3,41,1.4669314622879028,1.8627090454101562
234,3,42,1.2644227743148804,0.9524121284484863
235,3,43,1.3702092170715332,1.725111484527588
236,3,44,1.488650918006897,1.4708055257797241
237,3,45,1.640721321105957,1.7386558055877686
238,3,46,1.3947943449020386,0.9750252366065979
239,3,47,1.3336693048477173,1.3860750198364258
240,3,48,1.4631328582763672,1.8175004720687866
241,3,49,1.412017822265625,1.7645273208618164
242,3,50,1.5069857835769653,1.6380325555801392
243,3,51,1.3622236251831055,1.9075638055801392
244,3,52,1.443574070930481,1.6697620153427124
245,3,53,1.631246566772461,1.6196249723434448
246,3,54,1.8763526678085327,1.8346811532974243
247,3,55,1.95089852809906,1.8177003860473633
248,3,56,1.9298570156097412,1.9718071222305298
249,3,57,1.6027904748916626,1.8059605360031128
250,3,58,1.9063962697982788,1.931665062904358
251,3,59,1.680787205696106,1.9780361652374268
252,3,60,1.5357671976089478,1.8391133546829224
253,3,61,1.8159432411193848,0.7810971140861511
254,3,62,1.728988528251648,1.6373564004898071
255,3,63,1.7352207899093628,1.9018720388412476
256,4,0,1.5602036714553833,1.0975971221923828
257,4,1,1.387861967086792,0.522632896900177
258,4,2,1.7483916282653809,1.9240914583206177
259,4,3,1.705005407333374,1.8409186601638794
260,4,4,1.5833595991134644,1.7330764532089233
261,4,5,1.3140251636505127,1.6952857971191406
262,4,6,1.4209749698638916,1.4395335912704468
263,4,7,1.4899506568908691,1.6157476902008057
264,4,8,1.259116291999817,1.5860592126846313
265,4,9,1.1372871398925781,1.2097419500350952
266,4,10,1.162692666053772,1.3293386697769165
267,4,11,1.1592717170715332,1.789588212966919
268,4,12,0.9998651742935181,1.863791584968567
269,4,13,1.3722622394561768,1.5565727949142456
270,4,14,1.2243529558181763,1.753426432609558
271,4,15,1.0910866260528564,1.7934266328811646
272,4,16,1.2294058799743652,1.699731707572937
273,4,17,1.1396368741989136,1.5942459106445312
274,4,18,1.3656424283981323,1.5028259754180908
275,4,19,1.2578186988830566,1.6298680305480957
276,4,20,1.1368728876113892,1.3494418859481812
277,4,21,1.1897965669631958,1.548170566558838
278,4,22,1.1568230390548706,1.393203854560852
279,4,23,1.025733470916748,1.3043099641799927
280,4,24,1.04839289188385,1.1817985773086548
281,4,25,1.1416040658950806,1.313446044921875
282,4,26,0.9349560737609863,1.0402240753173828
283,4,27,1.300327181816101,1.6089792251586914
284,4,28,1.1204692125320435,1.2025564908981323
285,4,29,1.2016472816467285,1.4578957557678223
286,4,30,1.1427292823791504,1.6498006582260132
287,4,31,1.1398842334747314,1.2610284090042114
288,4,32,1.075060486793518,1.4247702360153198
289,4,33,1.1281898021697998,1.5472160577774048
290,4,34,0.9498418569564819,1.294249415397644
291,4,35,1.2166221141815186,1.3350988626480103
292,4,36,1.2728493213653564,1.845956563949585
293,4,37,1.4841111898422241,1.6346455812454224
294,4,38,1.3154405355453491,1.8229446411132812
295,4,39,1.3757531642913818,1.8334310054779053
296,4,40,1.332218050956726,1.2893327474594116
297,4,41,1.4475418329238892,1.8610804080963135
298,4,42,1.279754400253296,0.9777547717094421
299,4,43,1.3648899793624878,1.7367618083953857
300,4,44,1.479904294013977,1.5108600854873657
301,4,45,1.6425813436508179,1.7646406888961792
302,4,46,1.403151512145996,0.9927520751953125
303,4,47,1.3048969507217407,1.4026943445205688
304,4,48,1.4722415208816528,1.8353326320648193
305,4,49,1.4375896453857422,1.777824878692627
306,4,50,1.4954670667648315,1.6522446870803833
307,4,51,1.3800110816955566,1.9162896871566772
308,4,52,1.4189629554748535,1.6736410856246948
309,4,53,1.6227134466171265,1.6616538763046265
310,4,54,1.8753089904785156,1.8553186655044556
311,4,55,1.9545820951461792,1.8548558950424194
312,4,56,1.9371631145477295,1.9735544919967651
313,4,57,1.6156574487686157,1.82815420627594
314,4,58,1.9219614267349243,1.9435063600540161
315,4,59,1.726330280303955,1.981347918510437
316,4,60,1.5312718152999878,1.852831244468689
317,4,61,1.8354297876358032,0.8953949809074402
318,4,62,1.7317637205123901,1.67234206199646
319,4,63,1.7093067169189453,1.9022444486618042
320,5,0,1.5545672178268433,1.1617600917816162
321,5,1,1.3984630107879639,0.560329020023346
322,5,2,1.7393250465393066,1.9290978908538818
323,5,3,1.7219892740249634,1.857122778892517
324,5,4,1.5766085386276245,1.7519590854644775
325,5,5,1.2634998559951782,1.7109867334365845
326,5,6,1.4215235710144043,1.4613667726516724
327,5,7,1.4800792932510376,1.65006422996521
328,5,8,1.229232668876648,1.5955170392990112
329,5,9,1.1605198383331299,1.2579582929611206
330,5,10,1.1736520528793335,1.3644596338272095
331,5,11,1.1235674619674683,1.7866950035095215
332,5,12,1.0084832906723022,1.8661445379257202
333,5,13,1.3824397325515747,1.5950007438659668
334,5,14,1.2093019485473633,1.7520681619644165
335,5,15,1.0853023529052734,1.7888102531433105
336,5,16,1.218316912651062,1.7009989023208618
337,5,17,1.1346253156661987,1.5785099267959595
338,5,18,1.3633967638015747,1.496688723564148
339,5,19,1.2501651048660278,1.6271202564239502
340,5,20,1.1516289710998535,1.3646044731140137
341,5,21,1.1758602857589722,1.5460118055343628
342,5,22,1.1599998474121094,1.4010117053985596
343,5,23,1.032485008239746,1.311767816543579
344,5,24,1.0597399473190308,1.1814097166061401
345,5,25,1.1429897546768188,1.3154759407043457
346,5,26,0.9531090259552002,1.0561317205429077
347,5,27,1.2860028743743896,1.6119111776351929
348,5,28,1.1074961423873901,1.214713215827942
349,5,29,1.2148785591125488,1.4538105726242065
350,5,30,1.1409060955047607,1.6366426944732666
351,5,31,1.1427534818649292,1.277065396308899
352,5,32,1.0849294662475586,1.4428369998931885
353,5,33,1.1169297695159912,1.5547770261764526
354,5,34,0.9541128873825073,1.3437385559082031
355,5,35,1.1741480827331543,1.355198860168457
356,5,36,1.2568252086639404,1.842452883720398
357,5,37,1.4318549633026123,1.6581062078475952
358,5,38,1.3067758083343506,1.8269516229629517
359,5,39,1.3741947412490845,1.8283886909484863
360,5,40,1.3073185682296753,1.3419922590255737
361,5,41,1.4229822158813477,1.8579660654067993
362,5,42,1.2706644535064697,1.0131454467773438
363,5,43,1.35245680809021,1.7544562816619873
364,5,44,1.4650124311447144,1.5720783472061157
365,5,45,1.6419397592544556,1.7814748287200928
366,5,46,1.4408304691314697,1.0006145238876343
367,5,47,1.2876365184783936,1.447676420211792
368,5,48,1.4867037534713745,1.854270339012146
